GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,comparison,-log10(padj),ann
TRMT5,66.7909968194341,0.100062313409663,0.273433758907014,0.365947181539095,0.714404488783307,0.8674803015825,M_vs_G,0.0617403782214143,Not significant
PANK4,5.43660576132854,0.439955906129357,1.20240538068194,0.365896488154301,0.714442316976539,0.8674803015825,M_vs_G,0.0617403782214143,Not significant
LINC01588,136.94103399768,0.278064004809981,0.760073335706855,0.365838389201466,0.714485672182877,0.8674803015825,M_vs_G,0.0617403782214143,Not significant
GLCCI1,1172.27458526713,-0.0950752992196775,0.259923096440023,-0.365782419961344,0.714527439004258,0.8674803015825,M_vs_G,0.0617403782214143,Not significant
MED8,187.958489749664,-0.144762447774753,0.3959452357994,-0.365612298585895,0.714654396648705,0.867569614579365,M_vs_G,0.0616956669524489,Not significant
SLFNL1-AS1,6.52762167789143,-0.310834532442404,0.850450847598649,-0.365493824034726,0.714742816128583,0.867612133518104,M_vs_G,0.061674383025858,Not significant
QTRT1,599.098554085485,0.0768800626281598,0.210621896398103,0.365014577985028,0.715100524290079,0.867981505878053,M_vs_G,0.0614895282574674,Not significant
LINC02627,11.9204622573555,0.260547972991263,0.714097797039334,0.364863151898103,0.715213561390798,0.867983759404457,M_vs_G,0.0614884007071622,Not significant
SHC1,403.462617974546,0.0862490312609877,0.236397875250813,0.364846897077562,0.715225695720081,0.867983759404457,M_vs_G,0.0614884007071622,Not significant
LOC105375416,15.5024564054514,-0.209170630912749,0.573388465999143,-0.364797416265192,0.71526263391136,0.867983759404457,M_vs_G,0.0614884007071622,Not significant
LOC105374777,7.73131651350288,0.337213959002296,0.924651853043037,0.364692892673628,0.715340664579884,0.86800896209852,M_vs_G,0.0614757907568719,Not significant
DLL3,4.95370666917833,0.408497174029861,1.12031678720399,0.364626486629163,0.715390240656248,0.86800896209852,M_vs_G,0.0614757907568719,Not significant
CSTF1,181.199388570786,0.0790838140468207,0.217057054288198,0.36434574451479,0.715599844666636,0.868065138884892,M_vs_G,0.0614476845045787,Not significant
UGT1A,25.4352108074503,0.306368594875934,0.84093141839154,0.364320547639817,0.715618657877046,0.868065138884892,M_vs_G,0.0614476845045787,Not significant
MTPAP,417.927681347206,0.0835962518645104,0.229546121879982,0.36418063254503,0.715723128422845,0.868065138884892,M_vs_G,0.0614476845045787,Not significant
SLC25A44,111.121597027516,-0.175891773065447,0.483060529052056,-0.364119530549539,0.715768753181919,0.868065138884892,M_vs_G,0.0614476845045787,Not significant
FAM161B,59.3077688776406,-0.191458153329993,0.526053743644941,-0.36395169817329,0.715894078562885,0.868065138884892,M_vs_G,0.0614476845045787,Not significant
ZNF277-AS1,50.7526387569137,-0.150903577448581,0.414696090949087,-0.363889558503477,0.715940482027538,0.868065138884892,M_vs_G,0.0614476845045787,Not significant
MAP1B,87.6230074865453,0.131294498825039,0.360902955649663,0.363794468207376,0.716011493757004,0.868065138884892,M_vs_G,0.0614476845045787,Not significant
GAP43,10.918460464857,0.278065101430365,0.76445077958416,0.363744938008467,0.716048482995221,0.868065138884892,M_vs_G,0.0614476845045787,Not significant
HYCC2,186.722592709162,0.09263013612549,0.254661197517543,0.363738712565776,0.716053132213737,0.868065138884892,M_vs_G,0.0614476845045787,Not significant
LSS,40.2536042914979,-0.158697571662579,0.436369745939933,-0.363676843179738,0.716099337418985,0.868065138884892,M_vs_G,0.0614476845045787,Not significant
CCDC113,12.6009113137179,-0.259002950524643,0.71229976652528,-0.363615099564197,0.716145449732976,0.868065138884892,M_vs_G,0.0614476845045787,Not significant
LOXHD1,4.57562239058102,-0.479584222265703,1.31903972001336,-0.36358588372217,0.716167269517078,0.868065138884892,M_vs_G,0.0614476845045787,Not significant
SENP7,1186.57734136312,0.0897274707744871,0.246803196722215,0.36355878678297,0.716187507010677,0.868065138884892,M_vs_G,0.0614476845045787,Not significant
EPB41L1,4.73674960576844,0.376554043357155,1.03587255183481,0.363513873101643,0.716221051472271,0.868065138884892,M_vs_G,0.0614476845045787,Not significant
ADAMTS12,8.55363851042744,0.381748108206678,1.05032640497141,0.363456642049353,0.716263796142059,0.868065138884892,M_vs_G,0.0614476845045787,Not significant
SMN1,20.0082830402826,-0.206071288101272,0.567033717952149,-0.363419813632073,0.716291302982869,0.868065138884892,M_vs_G,0.0614476845045787,Not significant
PSMC2,150.173229677281,0.0922290797605359,0.253942096139769,0.363189408776767,0.716463398822218,0.86815311535005,M_vs_G,0.061403671958005,Not significant
CA10,15.5747478753101,0.288015788509648,0.793039637550713,0.363179562372417,0.716470753698331,0.86815311535005,M_vs_G,0.061403671958005,Not significant
LINC01035,8.13386410884174,0.416541039018274,1.14839116085406,0.362717036857452,0.716816271659696,0.868507016493804,M_vs_G,0.0612266686247901,Not significant
SUPT20H,779.207484067803,-0.0641960553822405,0.177073217885164,-0.362539610162127,0.716948829162571,0.868602857520326,M_vs_G,0.0611787462341303,Not significant
LINC01191,44.2635085877787,-0.157740058093388,0.435791806303292,-0.361961963974163,0.717380454254461,0.868858581440005,M_vs_G,0.0610509051373222,Not significant
CYB561D1,67.7204326345092,-0.153487436749277,0.424075490972614,-0.361934231089975,0.717401178914523,0.868858581440005,M_vs_G,0.0610509051373222,Not significant
UBE3B,708.11179717522,-0.0607562138322924,0.167867618101106,-0.361929325736302,0.71740484468499,0.868858581440005,M_vs_G,0.0610509051373222,Not significant
WDR46-5,10.7949648498499,0.303199920796756,0.837739864761133,0.361926098483099,0.717407256414639,0.868858581440005,M_vs_G,0.0610509051373222,Not significant
H2AC17,70.7764868895464,0.13103925716922,0.362109130697818,0.361877804397518,0.717443346971109,0.868858581440005,M_vs_G,0.0610509051373222,Not significant
TEX11,19.0406620004568,0.215413087934187,0.595347018575824,0.36182777642776,0.717480733938211,0.868858581440005,M_vs_G,0.0610509051373222,Not significant
TRIM67,4.26975642487012,-0.429643399761068,1.18823495485585,-0.361581182244542,0.717665028910173,0.869016994914777,M_vs_G,0.0609717301962857,Not significant
IQCK,37.5352148042746,0.155681271690634,0.43090330189124,0.3612905053346,0.717882290711689,0.869141732204892,M_vs_G,0.0609093967441883,Not significant
MGAT5,6845.61608591646,-0.0761830704202009,0.21089272782416,-0.361240860252524,0.717919399415057,0.869141732204892,M_vs_G,0.0609093967441883,Not significant
ITPRIPL2,7.34488368089746,-0.381988607004971,1.05747033409178,-0.361228674403474,0.7179285081946,0.869141732204892,M_vs_G,0.0609093967441883,Not significant
KCNIP1,6.74153917145678,-0.411139941251804,1.13849961974203,-0.361124355355483,0.718006487102751,0.869171378151873,M_vs_G,0.060894583450646,Not significant
LINC02649,4.57495028362139,-0.409219954799428,1.13348706135194,-0.361027460085289,0.71807891933868,0.869194305745993,M_vs_G,0.0608831274863429,Not significant
FREM1,7.56872939173533,-0.326312457179947,0.904536984118268,-0.360750818274205,0.718285731661265,0.869379877375336,M_vs_G,0.0607904161879585,Not significant
LOC124902162,7.14175401499381,0.29731976890387,0.824554749133135,0.360582204173157,0.718411794582646,0.869429884276199,M_vs_G,0.0607654362026988,Not significant
SMAD5,500.610343916426,-0.073047894490397,0.20259992668806,-0.360552423115471,0.71843406093769,0.869429884276199,M_vs_G,0.0607654362026988,Not significant
DOCK6,24.9844975615679,-0.167428249155079,0.46458949856835,-0.360378892917329,0.718563808734015,0.869506979220994,M_vs_G,0.0607269277210721,Not significant
LOC105375921,14.5277808612314,-0.213483870978208,0.592518890580753,-0.360298843415716,0.718623664143421,0.869506979220994,M_vs_G,0.0607269277210721,Not significant
KDM2A,2198.60783336245,0.050861898811853,0.141184018743381,0.36025252195364,0.718658300876235,0.869506979220994,M_vs_G,0.0607269277210721,Not significant
ZNF93,65.7660765283448,-0.138909218659398,0.385834679978268,-0.360022636293924,0.718830205732263,0.869650213159373,M_vs_G,0.0606553922561093,Not significant
TSC1,843.809671398852,-0.0700377936844694,0.194629492825482,-0.359851904599422,0.718957885397683,0.86973992553804,M_vs_G,0.0606105931162485,Not significant
GEMIN6,42.6170432266788,-0.166639291953971,0.463484946663199,-0.359535499812171,0.719194525689038,0.869961426927803,M_vs_G,0.0605000030638913,Not significant
ZNF561,128.904560759375,0.0997890440374379,0.277622492441668,0.359441496111504,0.719264836586975,0.869981712796021,M_vs_G,0.060489876249483,Not significant
RBM6,4716.60548499057,0.0766447608125667,0.213362716952944,0.359222838493711,0.719428392672094,0.870056885203464,M_vs_G,0.0604523518384714,Not significant
SLC25A13,818.626528818666,-0.0726140707144965,0.202163940928443,-0.359184087829978,0.719457379542057,0.870056885203464,M_vs_G,0.0604523518384714,Not significant
OR1J2,32.1373548607957,-0.19696548114062,0.548453972119479,-0.359128552537335,0.719498922612798,0.870056885203464,M_vs_G,0.0604523518384714,Not significant
FBLN5,5.54328928227976,0.403080737045836,1.12304620717105,0.358917321898264,0.719656940861374,0.870056885203464,M_vs_G,0.0604523518384714,Not significant
LOC105377950,6.10627043518691,0.445096914296108,1.24020553374542,0.358889637390921,0.719677652084815,0.870056885203464,M_vs_G,0.0604523518384714,Not significant
MIF4GD,330.260304748578,-0.119648366519471,0.333452002554599,-0.358817357829124,0.719731726552832,0.870056885203464,M_vs_G,0.0604523518384714,Not significant
LOC102724851-2,16.2421687409552,-0.240174956785071,0.66936523682901,-0.358810024139965,0.719737213179959,0.870056885203464,M_vs_G,0.0604523518384714,Not significant
LOC105372088,4.94958951954589,-0.43288037479148,1.20651484459462,-0.35878578430332,0.71975534807711,0.870056885203464,M_vs_G,0.0604523518384714,Not significant
GCLM,83.2489706991338,-0.112783904428174,0.314484190723766,-0.358631396282939,0.719870856305222,0.870131781901626,M_vs_G,0.0604149682795969,Not significant
NAA40,204.874890146989,-0.0845316782978873,0.235800698425072,-0.358487819851594,0.719978281384362,0.870196897814229,M_vs_G,0.0603824692673464,Not significant
PFKFB2,158.429965697406,-0.111899022638005,0.312260283894892,-0.358351761044546,0.720080086817218,0.870214345302074,M_vs_G,0.0603737617302921,Not significant
GLTP,367.418546062238,0.0825576003826944,0.230407987690856,0.358310496133771,0.720110964095083,0.870214345302074,M_vs_G,0.0603737617302921,Not significant
NME3,147.374191481242,0.0996583269674481,0.27817799661161,0.358253809364334,0.720153381825158,0.870214345302074,M_vs_G,0.0603737617302921,Not significant
LOC105371841,6.50710023526829,-0.297298656082584,0.83011915407981,-0.358139737676744,0.720238742308713,0.870252775414507,M_vs_G,0.0603545829873304,Not significant
LOC105373693,5.73424013232279,0.457323344939654,1.27762942135722,0.35794678589496,0.720383137146977,0.87027610185949,M_vs_G,0.0603429422194333,Not significant
HTR1F,15.0638393639801,0.254382209744374,0.710755090806715,0.357904168446613,0.720415031120646,0.87027610185949,M_vs_G,0.0603429422194333,Not significant
LOC124905137,18.1879397500957,0.229696093014232,0.641941445450398,0.357814711360587,0.720481980445131,0.87027610185949,M_vs_G,0.0603429422194333,Not significant
SNHG32,10.4123672918786,-0.260373987674579,0.727911641778542,-0.357699990947246,0.720567839878698,0.87027610185949,M_vs_G,0.0603429422194333,Not significant
PI4KA,862.203531086455,0.0630250053978054,0.176197341672724,0.357695552041135,0.720571162130392,0.87027610185949,M_vs_G,0.0603429422194333,Not significant
